-0.3320003,-0.08599997,0.4022161
-0.3262189,0.09977686,0.4517736
-0.2201001,0.1623352,0.5077627
-0.1188768,0.1064881,0.5317092
-0.07223141,-0.001757979,0.5217023
-0.03979066,-0.1345031,0.5000889
0.02752241,-0.2359897,0.4996032
0.03885892,-0.2447449,0.5016472
0.1969284,-0.2374824,0.5631343
0.3010658,-0.1536305,0.623806
0.3191294,-0.04163277,0.6591823
0.2529767,0.0884037,0.6673865
0.1503468,0.1365389,0.6409428
0.03334585,0.1406614,0.5978532
-0.1239522,0.09841979,0.5277369
-0.2261627,0.02868116,0.4713912
-0.3054776,-0.05652845,0.4197381
-0.3562799,-0.1801897,0.369036
-0.3289236,-0.3085138,0.3466318
-0.2461719,-0.4052886,0.3531721
-0.1294411,-0.4581988,0.383718
-0.01360935,-0.4756049,0.4229791
-0.002428919,-0.4717854,0.4281712
-0.02805448,-0.3406402,0.4519478
-0.1020529,-0.2353139,0.4508905
-0.2202519,-0.1596221,0.4256004
-0.3440019,-0.1220242,0.3885014
